#when lamba is 1000, there are 12 non-zero variables decision
SCIP> display solution

objective value:                     3957.03606457932
z                                    3486.91441788869 	(obj:1)
w                                   0.470121646690628 	(obj:1000)
x#12                              -0.0286488223948987 	(obj:0)
x#16                               0.0396356956828693 	(obj:0)
x#21                               0.0711000435234737 	(obj:0)
x#25                               -0.124522395045774 	(obj:0)
x#26                              -0.0318335857142459 	(obj:0)
x#27                              -0.0510474000646053 	(obj:0)
x#42                             -0.000423711890532942 	(obj:0)
x#45                              -0.0558972879960928 	(obj:0)
x#46                              -0.0663605056480119 	(obj:0)
x#55                             5.72954368800472e-05 	(obj:0)
x#56                             0.000469171633974316 	(obj:0)
x#57                               0.0001257316592697 	(obj:0)
t#1                                -0.873607709321351 	(obj:0)
t#2                                -0.727103013469183 	(obj:0)
t#3                                -0.469449514505011 	(obj:0)
t#4                                -0.931568789548722 	(obj:0)
t#5                                -0.931568789548722 	(obj:0)
t#6                                -0.986001029579181 	(obj:0)
t#7                                -0.937061823905763 	(obj:0)
t#8                                -0.988537886901711 	(obj:0)
t#9                                -0.516772469998818 	(obj:0)
t#10                               -0.853407758566802 	(obj:0)
t#11                               -0.926213391955769 	(obj:0)
t#12                               -0.920324093666929 	(obj:0)
t#13                               -0.870698475525378 	(obj:0)
t#14                                -0.92946312151429 	(obj:0)
t#15                               -0.558192953221201 	(obj:0)
t#16                               -0.801929753303897 	(obj:0)
t#17                               -0.770522730261142 	(obj:0)
t#18                               -0.745413554527375 	(obj:0)
t#19                               -0.923834427296946 	(obj:0)
t#20                               -0.790995429694905 	(obj:0)
t#21                               -0.992666013721467 	(obj:0)
t#22                               -0.586697540083848 	(obj:0)
t#23                               -0.873287834732576 	(obj:0)
t#24                               -0.835127690032242 	(obj:0)
t#25                                -1.05954714584884 	(obj:0)
t#26                               -0.586823500924865 	(obj:0)
t#27                                -1.05954714584884 	(obj:0)
t#28                               -0.988310954020938 	(obj:0)
t#29                               -0.858096723921098 	(obj:0)
t#30                                -0.85308981105531 	(obj:0)
t#31                                 -1.0866964220919 	(obj:0)
t#32                               -0.869112524895827 	(obj:0)
t#33                                -0.80410314448613 	(obj:0)
t#34                               -0.995419301379847 	(obj:0)
t#35                               -0.988839679627231 	(obj:0)
t#36                               -0.993882569286196 	(obj:0)
t#37                               -0.873957459266294 	(obj:0)
