objective value:                     4487.51582646449
z                                    4481.21150027922 	(obj:1)
w                                0.000630432618526797 	(obj:10000)
x#56                              0.00051957715771725 	(obj:0)
x#57                             0.000110855460809547 	(obj:0)
t#1                                -0.937487975274194 	(obj:0)
t#2                                -0.833563293358342 	(obj:0)
t#3                                -0.497582592538363 	(obj:0)
t#4                                -0.958043520676687 	(obj:0)
t#5                                -0.958043520676687 	(obj:0)
t#6                                -0.986220147750526 	(obj:0)
t#7                                -0.985505879758461 	(obj:0)
t#8                                -0.988852733685442 	(obj:0)
t#9                                -0.629442850578222 	(obj:0)
t#10                               -0.894627442071807 	(obj:0)
t#11                               -0.994554572376696 	(obj:0)
t#12                               -0.973887246476153 	(obj:0)
t#13                               -0.939372518107955 	(obj:0)
t#14                               -0.993591573375741 	(obj:0)
t#15                               -0.964804778748828 	(obj:0)
t#16                               -0.943820246583974 	(obj:0)
t#17                               -0.972031573804143 	(obj:0)
t#18                                -0.89953580258366 	(obj:0)
t#19                               -0.990161809112463 	(obj:0)
t#20                               -0.932099362937154 	(obj:0)
t#21                               -0.992774129981925 	(obj:0)
t#22                               -0.715285421621892 	(obj:0)
t#23                               -0.989995988439868 	(obj:0)
t#24                               -0.989753087415555 	(obj:0)
t#25                               -0.979479154743838 	(obj:0)
t#26                               -0.715396277082701 	(obj:0)
t#27                               -0.979479154743838 	(obj:0)
t#28                               -0.988554867449344 	(obj:0)
t#29                               -0.990293854675966 	(obj:0)
t#30                                -0.95140755314623 	(obj:0)
t#31                               -0.988263756235064 	(obj:0)
t#32                                 -0.9895178664503 	(obj:0)
t#33                                -0.98441851525306 	(obj:0)
t#34                               -0.995517571377652 	(obj:0)
t#35                               -0.955146843614762 	(obj:0)
t#36                               -0.994111150533458 	(obj:0)
t#37                               -0.990550265743916 	(obj:0)
t#38                               -0.932978526564572 	(obj:0)
t#39                               -0.947686677668671 	(obj:0)
t#40                               -0.905537357585491 	(obj:0)
t#41                               -0.959359351125524 	(obj:0)
t#42                               -0.990661121204725 	(obj:0)
t#43                               -0.990661121204725 	(obj:0)
t#44                               -0.990383520034082 	(obj:0)
t#45                               -0.942676066792308 	(obj:0)
t#46                               -0.846652842830166 	(obj:0)
t#47                               -0.944766960429573 	(obj:0)
t#48                               -0.985422969422164 	(obj:0)
t#49                               -0.562721007699543 	(obj:0)
t#50                               -0.879668709884335 	(obj:0)
t#51                               -0.990106843900678 	(obj:0)
t#52                               -0.964569557783573 	(obj:0)
t#53                               -0.894516586610998 	(obj:0)
t#54                               -0.983518161522948 	(obj:0)
t#55                               -0.964902124166002 	(obj:0)
t#56                                -0.97266200642267 	(obj:0)
t#57                               -0.953160050416488 	(obj:0)
t#58                               -0.990189754236975 	(obj:0)
t#59                               -0.946134701217338 	(obj:0)
t#60                                 -0.9056482130463 	(obj:0)
t#61                               -0.938104897849084 	(obj:0)
t#62                                -0.98696819085168 	(obj:0)
t#63                               -0.987529223177546 	(obj:0)
t#64                               -0.981564218396524 	(obj:0)
t#65                               -0.962380393691895 	(obj:0)
t#66                               -0.968920865879658 	(obj:0)
t#67                               -0.954073914190236 	(obj:0)
t#68                               -0.996556725693086 	(obj:0)
t#69                               -0.932118702965368 	(obj:0)
t#70                               -0.953714327720536 	(obj:0)
t#71                                -0.81873327210038 	(obj:0)
t#72                               -0.947575822207862 	(obj:0)
t#73                               -0.905980779428729 	(obj:0)
t#74                               -0.981051396260625 	(obj:0)
t#75                               -0.933311092947001 	(obj:0)
t#76                               -0.837451559821837 	(obj:0)
t#77                               -0.980601219395569 	(obj:0)
t#78                               -0.858447106679746 	(obj:0)
t#79                                -0.97280663699257 	(obj:0)
t#80                               -0.996293559603318 	(obj:0)
t#81                               -0.972294739893911 	(obj:0)
t#82                               -0.796984411679014 	(obj:0)
t#83                                -0.98908119962888 	(obj:0)
t#84                               -0.990557020765734 	(obj:0)
t#85                               -0.972890472366107 	(obj:0)
t#86                               -0.943134848753662 	(obj:0)
t#87                               -0.972093294037746 	(obj:0)
t#88                                -0.97462945959273 	(obj:0)
t#89                               -0.831508024904648 	(obj:0)
t#90                                -0.98383721786174 	(obj:0)
t#91                               -0.905753238522532 	(obj:0)
t#92                               -0.562942718621163 	(obj:0)
t#93                               -0.331634183295918 	(obj:0)
t#94                               -0.331634183295918 	(obj:0)
t#95                               -0.982457817104819 	(obj:0)
t#96                               -0.973285684019379 	(obj:0)
t#97                               -0.933608034145859 	(obj:0)
t#98                               -0.943695881079528 	(obj:0)
t#99                               -0.969993795304183 	(obj:0)
t#100                              -0.977490511471084 	(obj:0)
t#101                              -0.995115604702562 	(obj:0)
t#102                              -0.899565597782652 	(obj:0)
t#103                               -0.98125284211679 	(obj:0)
t#104                              -0.899565597782652 	(obj:0)
t#105                               -0.98125284211679 	(obj:0)
t#106                              -0.899565597782652 	(obj:0)
t#107                               -0.98125284211679 	(obj:0)
t#108                              -0.969945585114216 	(obj:0)
t#109                               -0.98125284211679 	(obj:0)
t#110                              -0.960622066437058 	(obj:0)
t#111                              -0.992372163306835 	(obj:0)
t#112                              -0.978544100867395 	(obj:0)
t#113                              -0.935562902309523 	(obj:0)
t#114                              -0.988235811110552 	(obj:0)
t#115                              -0.924052349376304 	(obj:0)
t#116                              -0.973943136725178 	(obj:0)
t#117                               -0.88493758190313 	(obj:0)
t#118                              -0.885491859207177 	(obj:0)
t#119                              -0.807905062124615 	(obj:0)
t#120                              -0.905642383061723 	(obj:0)
t#121                               -0.88493758190313 	(obj:0)
t#122                              -0.885491859207177 	(obj:0)
t#123                              -0.423357364224796 	(obj:0)
t#124                              -0.813722940985154 	(obj:0)
t#125                                -0.9437229011668 	(obj:0)
t#126                              -0.874690669318684 	(obj:0)
t#127                               -0.95428211506822 	(obj:0)
t#128                              -0.964008525457707 	(obj:0)
t#129                              -0.980607974417387 	(obj:0)
t#130                              -0.776056694800424 	(obj:0)
t#131                              -0.927879175367333 	(obj:0)
t#132                              -0.983233805330486 	(obj:0)
t#133                              -0.974164847646797 	(obj:0)
t#134                              -0.968241298033925 	(obj:0)
t#135                              -0.978585556035543 	(obj:0)
t#136                              -0.902968621719794 	(obj:0)
t#137                              -0.902968621719794 	(obj:0)
t#138                              -0.955388819601835 	(obj:0)
t#139                              -0.997741435615661 	(obj:0)
t#140                              -0.986635624469251 	(obj:0)
t#141                              -0.955388819601835 	(obj:0)
t#142                              -0.984058928783359 	(obj:0)
t#143                              -0.423357364224796 	(obj:0)
t#144                              -0.984058928783359 	(obj:0)
t#145                              -0.997519724694041 	(obj:0)
t#146                              -0.977435546259299 	(obj:0)
t#147                              -0.955388819601835 	(obj:0)
t#148                              -0.820449498910964 	(obj:0)
t#149                              -0.968179577800322 	(obj:0)
t#150                              -0.976125545795039 	(obj:0)
t#151                              -0.977490511471084 	(obj:0)
t#152                              -0.906196660365771 	(obj:0)
t#153                              -0.994783038320133 	(obj:0)
t#154                              -0.978384110179378 	(obj:0)
t#155                              -0.967624375459034 	(obj:0)
t#156                              -0.990072143754347 	(obj:0)
t#157                              -0.871099709569013 	(obj:0)
t#158                              -0.963129361830289 	(obj:0)
t#159                              -0.922234151962345 	(obj:0)
t#160                              -0.881272596674596 	(obj:0)
t#161                              -0.877392655546262 	(obj:0)
t#162                              -0.982457817104819 	(obj:0)
t#163                              -0.931812231632972 	(obj:0)
t#164                               -0.98005369711334 	(obj:0)
t#165                              -0.982457817104819 	(obj:0)
t#166                              -0.976264346380361 	(obj:0)
t#167                              -0.970361986870183 	(obj:0)
t#168                              -0.939483373568765 	(obj:0)
t#169                              -0.826768260177109 	(obj:0)
t#170                              -0.963786814536088 	(obj:0)
t#171                               -0.90036583098387 	(obj:0)
t#172                              -0.911429261924891 	(obj:0)
t#173                               -0.97106089474413 	(obj:0)
t#174                              -0.977275555571283 	(obj:0)
t#175                              -0.986774425054573 	(obj:0)
t#176                              -0.981224896992278 	(obj:0)
t#177                              -0.997741435615661 	(obj:0)
t#178                              -0.968601809540865 	(obj:0)
t#179                                -0.9009922836923 	(obj:0)
t#180                              -0.981224896992278 	(obj:0)
t#181                              -0.767193162882998 	(obj:0)
t#182                              -0.908256833766803 	(obj:0)
t#183                              -0.924562116639345 	(obj:0)
t#184                              -0.968490954080056 	(obj:0)
t#185                               -0.98882478856093 	(obj:0)
t#186                              -0.998704434616616 	(obj:0)
t#187                              -0.959136715166665 	(obj:0)
t#188                              -0.961508910123535 	(obj:0)
